# Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
6.0,1.0,5.0,0.0,15.585399961569397,-0.06623276076497193,39.0049792207875,0.2088073125162967,0.012087880196907924,0.3618653439504554,0.0,0.0,1.0,15.65163272233437,1.0
6.0,1.0,5.0,0.0,15.397543563889853,-0.03700169880742613,39.859884150421266,0.2052853555273721,0.03459037124489309,0.3662229386749417,0.0,0.0,1.0,15.434545262697279,1.0
6.0,1.0,5.0,0.0,15.383836692600212,-0.0507085700970645,40.092936824485726,0.2031168366842571,0.012374908724098344,0.34201280104719123,0.0,0.0,1.0,15.434545262697277,1.0
6.0,1.0,5.0,0.0,15.362740389038638,-0.07180487365863902,40.47725433772033,0.20334636598413564,0.0,0.3031929515710762,0.0,0.0,1.0,15.434545262697277,1.0
6.0,1.0,5.0,0.0,15.31776749418498,-0.1167777685122956,41.1683712811389,0.2131006207884289,0.0,0.2525710994684775,0.0,0.0,1.0,15.434545262697277,1.0
6.0,1.0,5.0,0.0,15.27934191035331,-0.15520335234396732,41.89746589558976,0.2328341530189738,0.07268825796281747,0.2899669495800717,0.0,0.0,1.0,15.434545262697277,1.0
6.0,1.0,5.0,0.0,15.309459449891083,-0.12769657357380662,41.94992785335228,0.2916994314921212,0.2513277057934157,0.3902636770152126,0.0,16.494468447215223,0.0,15.43715602346489,1.0
6.0,1.0,5.0,0.0,15.314421196320707,-0.030199302905711746,42.17205247596588,0.3618552475717142,0.0,0.5015696774456035,0.0,59.451504606438306,0.0,15.34462049922642,1.0
6.0,1.0,5.0,0.0,15.43790023831948,-0.0032035763012035114,41.47180144170521,0.45098031569407593,1.1949901019917484,2.231127332365371,0.0,144.53868750719607,0.0,15.441103814620686,1.0
6.0,1.0,5.0,0.0,15.546863458433084,-0.014844500430426831,41.013200948726464,0.5144864494310089,0.22790474503325642,1.3774958001798827,0.0,261.5299062549145,0.0,15.561707958863511,1.0
6.0,1.0,5.0,0.0,15.79435325966248,-0.008562987686688258,40.058171533578914,0.5859390016841688,0.04344467306704368,1.1920204730406807,0.0,367.84046876271293,0.0,15.802916247349167,1.0
6.0,1.0,5.0,0.0,15.802400753392334,-0.0005154939568349894,39.850821379573986,0.515116173819475,0.43446298422339724,1.6236317786841643,0.0,435.5737412320835,0.0,15.80291624734917,1.0
6.0,1.0,5.0,0.0,15.802217717003526,-0.0006985303456425975,39.575877731493044,0.5033950732116628,0.07443081285397389,1.771848383212119,0.0,445.2545308826099,0.0,15.80291624734917,1.0
6.0,1.0,5.0,0.0,15.801923294215749,-0.0009929531334242432,39.219559246831324,0.4143215408817581,0.0,2.041386577341655,0.0,447.4421987345154,0.0,15.80291624734917,1.0
6.0,1.0,5.0,0.0,15.801201646891798,-0.0017146004573711576,38.817169875607945,0.3490607150528387,0.07442929247208518,2.4449682253252387,0.0,419.9933578266375,0.0,15.80291624734917,1.0
6.0,1.0,5.0,0.0,15.80046585530929,-0.002450392039880966,38.39254772722069,0.5983127900731429,0.38008067494456266,3.0356464754954215,0.0,360.2623593560593,0.0,15.80291624734917,1.0
6.0,1.0,5.0,0.0,15.613589628961886,0.0036400124012419648,38.49893582692495,0.33985337968909674,0.17057602805172062,3.3624424089947693,0.0,274.3881801115216,0.0,15.609949616560645,1.0
6.0,1.0,5.0,0.0,16.27246087945701,-0.008457376908713643,35.955585576474455,0.4140591983796956,0.04102335022525453,2.5117951249167882,0.0,161.0395717060795,0.0,16.280918256365723,1.0
6.0,1.0,5.0,0.0,16.476312093257146,-0.009633208321385435,35.21299885098981,0.38697708733774916,0.0,1.7650178160480783,0.0,43.83640972099426,0.0,16.485945301578532,1.0
6.0,1.0,5.0,0.0,16.05406777280215,0.014357804922087413,36.476215643975024,0.4245960066958344,0.09833880183226187,1.6933006054569686,0.0,-0.0,1.0,16.039709967880064,1.0
6.0,1.0,5.0,0.0,15.46830471396218,0.031615467296266964,38.317625663212624,0.423537062253322,0.08270795488071049,2.74760488510136,0.0,0.0,1.0,15.436689246665914,1.0
6.0,1.0,5.0,0.0,15.671042416374025,-0.012697979692787329,37.554614374967215,0.4378584147160384,0.24725715390469608,1.6624114425157375,0.0,0.0,1.0,15.683740396066813,1.0
6.0,1.0,5.0,0.0,15.210351362666483,0.011385925936492083,39.124372160689106,0.3437172395359553,0.18984357729106824,1.7957771252554222,0.0,0.0,0.0,15.198965436729992,1.0
6.0,1.0,5.0,0.0,14.900383509714134,0.008499926101715568,40.21296274869297,0.23127700821521952,0.2910790611713323,2.189694461850889,0.0,0.0,0.0,14.891883583612419,1.0
6.0,1.0,7.0,0.0,14.937289603952564,-0.017046365750780137,40.03881980586169,0.20823664409758014,0.0,1.654641890100406,0.0,0.0,0.0,14.954335969703344,1.0
6.0,1.0,7.0,0.0,14.963284194368597,-0.011313433039768239,40.0219954093634,0.20546599737635346,0.0,1.065440236017959,0.0,0.0,1.0,14.974597627408365,1.0
6.0,1.0,7.0,0.0,14.951460350582956,0.0035563327855203945,40.35142064834386,0.20234662072312576,0.0,0.7695806599993614,0.0,0.0,1.0,14.947904017797434,1.0
6.0,1.0,7.0,0.0,15.24443556165933,-0.030972261157645734,39.724643647389414,0.20665100696695687,0.1481442693982814,0.35136162112396774,0.0,0.0,1.0,15.275407822816977,1.0
6.0,1.0,7.0,0.0,15.32153048518462,-0.11301477751265664,39.95646781716338,0.4315095770807094,0.0,0.3526386716874335,0.0,0.0,1.0,15.434545262697277,1.0
